科室,疾病,ICD编码,备注1,备注2,ICDcode,现有241类疾病中已包括,gender,age,兼职人员,top0症状体征,关键症状体征,重要症状体征,普通症状体征,关键化验检查,重要化验检查,普通化验检查,delete,
儿童胸外科,先天性肺囊性病,Q33.001,,,Q33,No,,12,嘉敏,,,呼吸急促、紫绀、反复肺部感染、胸痛,发热、咳嗽,X线胸部检查可见肺部囊肿,体检见气管移向对侧、患侧叩诊鼓音、呼吸音降低,0,,
儿童口腔科,唇腭裂,O35.801 ,,,Q37,Yes,,,,,,唇裂，腭裂，唇腭裂，兔唇，腭垂缺失，黏膜下裂，隐裂,,,,,,
儿童口腔科,舌系带过短,Q38.100 ,,,Q38,No,,,白莹,,舌头不能自由前伸，伸出部分不及正常儿童的长，舌前伸时舌尖凹陷,舌头不适，发音困难，咀嚼困难，舌尖W形，舌尖不能上翘,,,,,,
新生儿科,先天性食管闭锁,Q39.001,,,Q39,No,,12,于明丽,,唾液不能下咽，反流入口腔，出生后即流涎，吐白沫,脱水、消瘦,,食管镜检查,腹部X线检查发现胃肠道含有气体,,,
小儿普通外科,先天性肥厚性幽门狭窄,Q4.001,,,Q4.,No,,12,于明丽,,见胃蠕动波、扪及幽门肿块，喷射性呕吐,伴发黄疸,,超声检查：幽门肥厚的诊断标准：幽门管长径>16mm，幽门肌厚度≥4mm，幽门管直径>14mm，若以上3个标准未同时达到，仅有一项或两项达到标准，则采用超声评分系统。评分≥4时诊断为CHPS，≤2时为阴性，=3分时建议进一步检查,钡餐检查：诊断的主要依据是幽门管腔增长（>1cm）和狭细（<0.2cm）。胃肠透视表现为幽门前区呈“鸟嘴样”突出，幽门管细长呈“线样征”。胃窦及胃腔扩大，胃内充满内容物之光点及液性暗区回声，可见胃蠕动现象并增强，有时可见逆蠕动波，胃排空延迟等征象,,,
新生儿科,先天性肠疾病,Q41-Q43,,,Q41,No,,,王叮咛,,小肠先天性缺如，小肠闭锁和狭窄；大肠先天性缺如，大肠闭锁和狭窄；肠的其他先天性畸形,呕吐，腹胀，不排便，排少量粘液样物,消瘦、脱水、营养不良、水电解质紊乱、酸中毒、肠穿孔,腹部平片发现上腹部有数个液平，钡餐检查可确定狭窄或梗阻部位,,,,
儿科,肠的其他先天性畸形,,"[('脐茸', 68), ('先天性巨结肠', 15), ('先天巨结肠', 3), ('先天性无肛', 3), ('先天性巨结肠手术', 2)]",,Q43,,,,,"肠的先天性畸形,脐茸,先天性巨结肠,先天巨结肠,先天性无肛,先天性巨结肠手术,先天性直肠肛管畸形","脐茸,巨结肠","腹胀,不排胎粪,呕吐,便秘","排便异常,喂奶后呕吐",消化道造影：先天性畸形,,,,
小儿普通外科,胆道先天性畸形,Q44.000-Q44.505,,,Q44,No,,12,嘉敏,,,黄疸,,B超检查可发现胆囊扩大或堵塞等,0,0,,
新生儿科,环形胰腺,Q45.100,,,Q45,No,,12,王叮咛,,完全性十二指肠梗阻，顽固性呕吐，呕吐物中含胆汁；间歇性腹痛，呕吐，上腹部饱胀不适，进食后加重,伸舌样痴呆、食管闭锁、食管气管瘘、美克尔憩室、先天性心脏病、畸形足,营养不良、脱水，电解质紊乱，酸碱平衡失调,腹部X线检查：十二指肠梗阻；ERCP：使环状胰管显影；MRI：看到与胰头相连续的围绕十二指肠降段与胰腺同等信号强度的组织结构；MRCP：显示环状胰管影；,胃肠钡剂造影：扩张、下垂，内有大量空腹滞留液，排空时间延长十二指肠壶腹部匀称扩大，伸长，其下缘光滑圆隆；CT：可看到与胰头相连续的围绕十二指肠降段胰腺组织通常因环状胰腺组织薄；内镜：严重病例内镜下可见十二指肠降部呈环形狭窄；,胎粪检查：用胎粪的中间部分行染色镜检，如能查到随吞入羊水中的鳞状上皮细胞或胎毛，可推断在胎儿时期有一段时间肠管是通畅的。,,
妇产科,女性生殖器的其他先天性畸形,,"[('纵膈子宫', 210), ('子宫纵膈', 129), ('双子宫', 67), ('子宫纵膈切除', 57), ('不全纵膈子宫', 38)]",,Q52,,2,,,"女性生殖器先天性畸形,纵膈子宫,子宫纵膈,双子宫,子宫纵膈切除,不全纵膈子宫,先天性无阴道",,"子宫纵膈,双阴道,无宫颈,始基子宫,纵膈子宫,阴道闭锁,病理妊娠,无阴道,无子宫,双角子宫,先天性无子宫双子宫",,彩超、子宫输卵管超声、X线、子宫输卵管造影提示子宫宫颈阴道等异常,,,,
儿童泌尿外科,隐睾,Q53.903,,,Q53,No,1,,刘延青,,患侧阴囊扁平，左右阴囊不对称，双侧隐睾阴囊空虚，阴囊干瘪，阴囊瘪陷,患侧合并腹股沟斜疝，腹部包块,腹痛，呕吐，发热,,,,,
儿童泌尿外科,尿道下裂,Q54.900,,,Q54,No,1,,刘延青,,异位尿道口，阴茎下弯，尿道口位于正常尿道口与会阴部途径上，阴茎畸形,包皮异常分布，包皮系带缺如，包皮在阴茎头背侧帽状堆积,,,,可有染色体异常，性激素水平异常,,
儿童泌尿外科,男性生殖器官的其他先天性畸形,,"[('隐匿阴茎', 213), ('隐睾', 124), ('右侧隐睾', 102), ('左侧隐睾', 101), ('隐匿性阴茎', 84)]",,Q55,,1,,,"男性生殖器官先天性畸形,隐匿阴茎,隐睾,右侧隐睾,左侧隐睾,隐匿性阴茎","隐匿阴茎,睾丸发育不良","阴茎包埋,包皮,小阴茎,摸不到睾丸,睾丸下降不全","睾丸扭转,隐匿性阴茎,阴囊错位,睾丸下降不全,阴茎发育不全,阴茎下弯,不育,输精管畸形,尿道下裂,摸不到睾丸,睾丸异位,疝气,尿道口下裂",体格检查,超声：局部异常,,,
儿童泌尿外科,两性畸形,Q56.001,,,Q56,No,,,刘延青,,假两性畸形，外生殖器有两性畸形，内生殖器无两性畸形，尿道下裂，女孩出生时出现阴蒂肥大、轻度男性化先天性睾丸发育不全症,真两性畸形，卵巢和睾丸同存，两种性腺组织，不完全阴茎体，尿道下裂，混合型，外生殖器不同程度混合，介于男性女性间,,性染色体数目异常，染色体正常性腺为卵睾,性激素水平异常，肾上腺类固醇激素合成的酶缺陷,,,
儿童泌尿外科,多囊肾,Q61.301,,,Q61,No,,,刘延青,,肾脏体积增大，肾表面囊肿，肾区疼痛，腰背部压迫感，腰背部钝痛，血尿，高血压，肾功能不全，,腹部触诊多囊肾，腹部触诊囊性肾，肾功能缓慢进行性减退，,肾外囊肿，肝囊肿，脾囊肿，胰腺囊肿，脑底动脉环血管瘤,分子诊断，adpkd1突变，adpkd2突变,白细胞升高，发热,轻微贫血,,
儿科,肾的其他先天性畸形,,"[('双肾尿盐结晶', 14), ('先天性肾积水', 13), ('双肾集合部分离', 12), ('双肾分离', 6), ('马蹄肾', 6)]",,Q63,,,,,"肾的先天性畸形,双肾尿盐结晶,先天性肾积水,双肾集合部分离,双肾分离,马蹄肾",,"腹部包块,恶心,腹胀,呕吐,尿少,腰部胀感",,超声：先天性畸形,泌尿系造影：先天性畸形,,,
儿童泌尿外科,先天性泌尿系畸形,Q64.900,,,Q64,No,,,刘延青,,肾位置异常，肾数目异常，盆腔肾，胸腔肾，肾缺如，单独肾，融合肾，盆腔肾，重复肾，多囊肾，错构瘤，肾血管异常，,肾积水，尿道梗阻，肾功能下降，巨输尿管症，输尿管扩张，尿道下裂，脓尿、血尿、排尿困难,阴茎短小，后尿道瓣，全身症状，贫血貌，发热,直肠指诊：对确定尿道狭窄的部位程度及是否合并直肠损伤；尿道金属探条或诱导探条检查可确定尿道狭窄的部位和程度。,泌尿科B超，膀胱尿道造影，KUB+IVU，内腔镜检查等影像学检查：判断泌尿系及周围脏器是否存在先天畸形。,尿常规：白细胞升高、细菌阳性、尿细菌培养阳性：提示泌尿系感染。,,
儿童骨科,髋先天性变形,,"[('髋关节发育不良', 116), ('先天性髋关节脱位', 35), ('先天性髋关节发育不良', 29), ('左侧髋关节发育不良', 10), ('髋关节发育异常', 7)]",,Q65,,,,,"髋先天性变形,髋关节发育不良,先天性髋关节脱位,先天性髋关节发育不良,左侧髋关节发育不良,髋关节发育异常",髋关节发育不良,"一侧大腿或臀部有多余皱褶,走路有点瘸,髋关节脱位,一侧腿短,髋关节活动受限,一侧髋关节伸展受限",单侧脚趾走路,超声检查：髋部结构异常,X片：髋部结构异常,体格检查,,
儿童骨科,先天性足畸形,Q66.801 ,,,Q66,No,,,刘延青,,先天性马蹄内翻足，足内翻，足后翻，足似马蹄,足内翻，足后翻，足部肌肉发育障碍，足部肌肉挛缩,足部肌肉缩短，足部肌肉挛缩,,,,,
整形美容科 ,畸形,Q67,,,Q67,No,,,唐晓昱,,小耳，隐耳，招风耳，杯状耳，塌鼻，颅骨凹陷，鼻中隔偏曲，扁鼻，驼峰鼻,挛缩,,,,,,
儿童胸外科,鸡胸,Q67.751先天性,E64.351佝偻病性,,Q67.8,No,,,嘉敏,,鸡胸、漏斗胸,胸壁前凸、胸廓凹陷、胸骨畸形、肋骨畸形、肋软骨畸形、佝偻病、气促,乏力,胸部X线显示胸骨和肋骨畸形，,0,心电图偶见窦性心律不齐、轻度贫血、血清碱性磷酸酶增高,1,
儿童骨科,先天性肌性斜颈,Q68.001,,,Q68.0,No,,12,嘉敏,,颈部有异常包块、转动颈部活动受限,孩子外观发生变形、面部大小不一致,有斜视、髋关节脱位,超声检查颈部肌肉异常,,,,
儿童骨科,先天性骨与关节畸形,Q68.801 ,,,Q68.8,No,,12,刘延青,,先天性上肢畸形：先天性肩关节脱位，肩胛骨异常移位，先天性尺桡骨联合，前臂旋前功能受限，肘关节内翻畸形，肘关节外翻畸形，先天性下肢畸形，先天性髋关节脱位，走路跛行，走路左右摇摆，下肢缩短，臀部翘起，髋关节弹响，髋关节内翻，膝内翻，站立双膝不能靠拢，膝外翻，站立双踝不能靠拢，马蹄内翻足，扁平足，多趾畸形，缺趾畸形，巨趾畸形，脊柱畸形，移行椎，脊柱发育异常，脊柱裂，胸廓畸形等,患肢外管畸形，患肢功能障碍,,,,,1,
儿童骨科,先天性并指多指畸形,Q70.400,,,Q70,No,,12,刘延青,,两指并连，三指并连，四指并连，五指并连，拇指的桡侧和小指的尺侧多出软组织，拇指的桡侧和小指的尺侧多部分组织，拇指的桡侧和小指的尺侧多出整根手指，,手指皮肤短缺，手指血管神经畸形，手指骨骼畸形，手指多出软组织或部分手指或整根手指,,,,,,
小儿普通外科,疝气,Q79.200脐疝,,,Q79,No,,,于明丽,,腹股沟区包块，脐孔出现包块，时大时小的包块。,腹股沟区包块,,白细胞计数增高，但病情严重或机体反应低下时白细胞计数并不高，仅有中性粒细胞比例升高或毒性颗粒出现。腹部X线检查可见肠腔普遍胀气，并有多个小气液面等肠麻痹征象；胃肠穿孔时多数可见膈下游离气体存在,B超检,,,
儿科,皮肤的其他先天性畸形,,"[('毛细血管瘤', 27), ('胎记', 13), ('皮肤毛细血管瘤', 13), ('外阴色素痣', 4), ('横纹肌样瘤', 4)]",,Q82,,,,,"皮肤先天性畸形,毛细血管瘤,胎记,皮肤毛细血管瘤,外阴色素痣,横纹肌样瘤",,"毛细血管瘤,胎记",,体格检查,基因检测：染色体或基因异常,,,
乳腺外科,乳房先天性畸形,,"[('乳房发育', 2544), ('单纯乳房发育', 30), ('乳房发育不良', 16), ('乳房发育差', 5), ('单侧乳房发育', 3)]",,Q83,,2,,,"乳房畸形,乳房发育不良,乳房发育差,单侧乳房发育，副乳，无乳头，",,"乳房不对称,乳房不发育,乳头内陷,",,超声：乳房局部异常,,,,
儿科,影响多系统的其他特指先天性畸形综合征,,"[('歪嘴哭综合征', 64), ('歪嘴哭综合症', 4), ('左耳畸形咨询', 1), ('无意识歪嘴', 1), ('右侧歪嘴哭综合征', 1)]",,Q87,,,,,"歪嘴哭综合征,歪嘴哭综合症,左耳畸形咨询,无意识歪嘴,右侧歪嘴哭综合征","哭时歪嘴,歪嘴哭综合征","先天面容畸形,眼耳畸形","发育迟缓,精神运动性障碍,癫痫发作",体格检查,超声：相关部位结构异常,X片：相关部位结构异常,,
儿童口腔科,甲状舌管囊肿,Q89.202,,,Q89,No,,,嘉敏,,,圆形囊肿，舌骨下囊肿,,B超检查囊肿在舌骨下方颈中段,0,0,,
儿童脑病中心,先天愚型,Q90.900 ,,,Q90,No,,12,嘉敏,,特殊面容、眼距宽、鼻根低平、眼裂小、眼外侧上斜、内眦赘皮、外耳小、,舌伸出口外、流涎多、身材矮小,智能低下、皮肤纹理异常,外周血细胞染色体核型分析发现21号染色体长臂21q22区带为三体、羊水细胞染色体检查21号染色体异常、荧光原位杂交3个21号染色体的荧光信号,,,,
生殖内分泌,"特纳综合征[性腺发育障碍症][45,X综合征]",,"[('性腺发育不良', 137), ('单纯性性腺发育不良', 11), ('特纳综合征', 4), ('XX单纯性性腺发育不良', 1), ('XY单纯性腺发育不良', 1)]",,Q96,,2,,,"特纳综合征,性腺发育障碍症,45X综合征,性腺发育不良,单纯性性腺发育不良,特纳综合征,XX单纯性性腺发育不良,XY单纯性腺发育不良",,"身材矮小,生殖器与第二性征不发育（阴毛稀少，无腋毛，外生殖器幼稚型）,体重低","颈侧皮肤松弛,足背明显浮肿,盾形胸,乳头间距增宽,多痣,手外翻,肘外翻,心血管畸形（15%-50%），马蹄肾或肾发育不全（1/3）",染色体核型：45，X,,,,
生殖内分泌,"其他染色体异常,不可归类在他处者",,"[('染色体异常', 27), ('性发育异常', 7), ('XY单纯性性腺发育不全', 3), ('性腺发育异常', 3), ('XY性腺发育不全', 2)]",,Q99,,,,,"染色体异常,性发育异常,XY单纯性性腺发育不全,性腺发育异常,XY性腺发育不全",女性假两性畸形：外生殖器男性化，闭经；男性假两性畸形：无子宫无阴道，阴茎极小，阴道盲端，无子宫。乳房发育，乳晕苍白；真两性畸形：外生殖器混合型，女性乳房，有勃起阴茎,染色体异常,染色体异常,"染色体核型：46，XY或46，XX/46,XY嵌合型或45，X/46,XY嵌合型，45，X/47,XYY嵌合型，45，X/46,XY/47,XXY嵌合型等",,,,
儿科,心脏搏动异常,,"[('心动过速', 108), ('心悸', 39), ('窦性心动过缓', 18), ('心动过缓', 12), ('短阵房性心动过速', 8)]",,R00,,,,,"心脏搏动异常,心动过速,心悸,窦性心动过缓,心动过缓,短阵房性心动过速",,"快速的心跳, 心动过速","窦房结功能受损,昏迷,胸痛,染色体异常头昏,眩晕,心悸,心动过缓",心脏超声：先天性心脏病等,心电图：心律失常,,,
儿科,心脏杂音和其他心音,,"[('心脏杂音', 235), ('生理性杂音', 113), ('杂音', 24), ('心脏杂音待排', 11), ('心脏杂音待查', 3)]",,R01,,,,,"心脏杂音和其他心音,心脏杂音,生理性杂音,杂音,心脏杂音待排,心脏杂音待查",,心脏杂音,"心尖区收缩期杂音,主动脉瓣区收缩期杂音,心底部连续性杂音",体格检查,超声：动脉导管未闭；卵圆孔未必等结构问题,,,
儿科,呼吸道出血,,"[('鼻衄', 1329), ('咯血', 56)]",,R04,,,,,"呼吸道出血,鼻衄,鼻出血，咯血",,"咯血,鼻出血","急性呕血,痰中带血,咳血,吐血,鼻衄",X片：肺部纹理增粗，有渗出，甚至白肺,体格检查,血气分析：低氧血症，酸中毒,,
儿科,咳嗽,,"[('慢性咳嗽', 5924), ('感染后咳嗽', 22), ('变异性咳嗽', 6), ('慢性咳嗽待查', 3), ('慢性咳嗽痊愈', 1)]",,R05,,,,,"咳嗽,慢性咳嗽,感染后咳嗽,变异性咳嗽,慢性咳嗽待查,慢性咳嗽痊愈",,咳嗽,,体格检查,胸片：肺部纹理增粗模糊,咽拭子：阳性结果,,
儿科,呼吸异常,,"[('屏气发作', 71), ('幼儿喘息', 57), ('反复喘息', 25), ('呃逆', 23), ('婴儿喘息', 13)]",,R06,,,,,"呼吸异常,屏气发作,幼儿喘息,反复喘息,呃逆,婴儿喘息",,"呼吸异常,呼吸困难","呃逆,屏气,喷嚏,喘鸣,喘息,口呼吸,呼吸暂停,通气过度,鼾症",体格检查,胸片：肺部纹理增粗模糊,咽拭子：阳性结果,,
儿科,咽痛和胸痛,,"[('胸痛', 369), ('心前区疼痛', 94), ('心前区不适', 39), ('反复胸痛', 1), ('咽痛', 1)]",,R07,,,,,"胸痛,心前区疼痛,心前区不适,反复胸痛,咽痛",,"咽痛,胸痛","心前区疼痛,左前胸疼痛,咽部炎症,胸闷,呼吸时胸痛,前胸壁痛",胸片：肺纹理增粗,咽拭子：阳性,体格检查,,
妇产科,腹部和盆腔痛,,"[('腹痛', 12202), ('下腹痛', 235), ('下腹不适', 70), ('上腹痛', 41), ('外阴痛', 38)]",,R10,,2,,,"腹部痛,盆腔痛,腹痛,下腹痛,下腹不适,上腹痛,外阴痛",,腹痛，盆腔痛，疼痛可放散至腰骶部或大腿内侧等,"下腹痛,上腹痛,会阴痛",彩超盆腔包块，附件包块，盆腔积液，腹腔积液,CA125升高,hcg阳性,,
儿科,恶心和呕吐,,"[('呕吐', 1628), ('恶心', 114), ('干呕', 68), ('周期性呕吐', 12), ('头痛呕吐', 3)]",,R11,,,,,"呕吐,恶心,干呕,周期性呕吐,头痛呕吐",,"呕吐,恶心",,病史采集,体格检查,呕吐物；胃液检查,,
儿科,未特指的黄疸,,"[('黄疸', 1347), ('母乳性黄疸', 67), ('病理性黄疸', 18), ('生理性黄疸', 2), ('轻度黄疸', 1)]",,R17,,,,,"黄疸,母乳性黄疸,病理性黄疸,生理性黄疸,轻度黄疸",,"巩膜黄染,皮肤黄染","恶心,呕吐,腹泻,食欲不振,腹胀,皮肤瘙痒,腹痛,皮肤,便秘",血清胆红素检查：升高,"肝功能：胆红素升高；AST,ALT升高",超声：肝脏异常,,
妇产科,腹水,,"[('腹水', 113), ('大量腹水', 2), ('腹水疑腺癌待查', 1)]",,R18,,,,,"腹水,腹水,大量腹水,腹水疑腺癌待查",,腹水，腹胀腹痛，                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,彩超示腹腔积液,,,,
儿科,累及消化系统和腹部的其他症状和体征,,"[('便血', 1005), ('大便干结', 80), ('腹部包块', 46), ('腹部不适', 44), ('排便困难', 41)]",,R19,,,,,"便血,大便干结,腹部包块,腹部不适,排便困难",,"腹部包块,腹部不适","发热,下腹部疼痛,便血,便秘",体格检查,超声,,,
儿科,皮疹和其他非特异性斑疹,,"[('过敏性皮疹', 2530), ('皮疹', 1041), ('虫咬性皮疹', 15), ('反复过敏性皮疹', 4), ('全身皮疹', 2)]",,R21,,,,,"斑疹,过敏性皮疹,皮疹,虫咬性皮疹,反复过敏性皮疹,全身皮疹",,"皮疹,丘疹","发烧,发痒,斑疹,点状密集皮疹,哭闹不安",体格检查,活检：,,,
儿科,其他皮肤改变,,"[('皮肤黄染', 47), ('口唇发绀', 10), ('发绀', 6), ('口周发绀', 3), ('指端青紫', 2)]",,R23,,,,,"其他皮肤改变,皮肤黄染,口唇发绀,发绀,口周发绀,指端青紫",,"紫绀,口唇发绀","口周发绀,下唇瘀斑,发绀,皮肤黄染,巩膜黄染",体格检查,活检：有异常改变,,,
儿科,异常的步态和移动,,"[('步态异常', 182), ('走路姿势异常', 85), ('步态不稳', 17), ('走路跛行', 16), ('走路不稳', 10)]",,R26,,,,,"步态异常,走路姿势异常,步态不稳,走路跛行,走路不稳",,"步态异常,走路不稳","剪刀步态,麻痹步态,慌张步态,醉汉步态,走路跛行,走路姿势异常,偏瘫步态",体格检查,病史采集,X片：双下肢结构异常,,
妇产科,与排尿有关的疼痛,,"[('尿痛', 112), ('排尿困难', 3), ('尿频尿痛', 1)]",,R30,,,,,"尿痛,排尿困难,尿频尿痛",,"尿痛,尿频，尿不净，尿不尽，排尿困难，残余尿增多","排尿困难,排尿烧灼感",沙眼衣原体(chlamydia trachomatis，CT)阳性、生殖支原体(mycoplasma genitalium，MG)阳性、解脲脲原体(ureaplasma urealyticum，UU)阳性、人型支原体(mycoplasma hominis，MH)阳性,,尿白细胞升高；,,
儿科,未特指的血尿,,"[('血尿', 1099), ('反复血尿', 1)]",,R31,,,,,"尿血,血尿,反复血尿",,"血尿,镜下血尿","尿色鲜红,尿呈暗红色,尿颜色改变,尿呈淡红色,尿呈血液状",尿常规：血尿,"肾功能：BUN,CR增高",,,
儿童泌尿外科,尿失禁,R32.X00,,,R32,No,,,刘延青,尿失禁，遗尿,尿急时尿液溢出，打喷嚏时尿液溢出，改变体位时尿液溢出，尿道持续滴尿，不能自主控制排尿,尿频，尿急，急迫性尿失禁，逼尿肌收缩无力，外伤损伤尿道括约肌，医源性损伤尿道括约肌，咳嗽时尿液溢出,,排尿功能异常，尿动力学检查逼尿肌不稳定，尿动力学检查逼尿肌反射亢进，,,,,
妇产科,多尿,,"[('尿频', 1024), ('多尿', 8), ('夜尿多', 2), ('日间性尿频', 1), ('尿多', 1)]",,R35,,,,,"多尿,尿频,夜尿多,日间性尿频,尿多",,"多尿,烦渴多饮","尿频,糖尿病,夜尿多",尿量＞2500ml/24h，夜尿次数＞2次，夜尿量＞全日总尿量1/3；尿比重低；尿钠低；,尿糖阳性，尿酮体阳性,,,
儿科,头晕和眩晕,,"[('头晕', 851)]",,R42,,,,,"头晕,眩晕,头晕",,"头晕,眩晕","脑内摇晃,头重脚轻,耳鸣,面色苍白,头胀,失眠,情绪不稳,眼花,乏力",脑电图：异常脑电图,磁共振：异常结果,病史采集,,
儿科,"言语障碍,不可归类在他处者",,"[('构音不良', 403), ('语言', 43), ('构音不清', 10), ('吐字不清', 8), ('语言表达不良', 4)]",,R47,,,,,"言语障碍,构音不良,语言,构音不清,吐字不清,语言表达不良",,"发音困难,说话不流利,表达不清","失语,说话不清晰,构音不良,语言发育障碍",体格检查,病史采集,测试量表,,
儿科,其他和原因不明的发热,,"[('发热', 4210), ('发热抽搐', 104), ('发热皮疹', 33), ('发热NOS', 18), ('长期发热', 6)]",,R50,,,,,"发热,发热抽搐,发热皮疹,发热NOS,长期发热",,发热,,血常规：白细胞增高,CRP；PCT；血沉（增高）,血培养：阳性,,
儿科,头痛,,"[('头痛', 975), ('反复发作性头痛', 1)]",,R51,,,,,"头痛,头疼，反复发作性头痛",,,"恶心,发热失语,呕吐,头晕,头部紧箍感",病史采集,脑电图：异常结果,磁共振：异常结果,,
儿科,"疼痛,不可归类在他处者",,"[('双下肢疼痛', 116), ('膝关节疼痛', 96), ('关节疼痛', 75), ('下肢疼痛', 60), ('腰骶部疼痛', 16)]",,R52,,,,,"疼痛,双下肢疼痛,膝关节疼痛,关节疼痛,下肢疼痛,腰骶部疼痛",,疼痛,"膝关节疼痛,双下肢疼痛,上腹疼痛,下肢疼痛,关节疼痛",体格检查,病史采集,,,
儿科,晕厥和虚脱,,"[('晕厥', 598), ('血管迷走性晕厥', 55), ('血管迷走神经性晕厥', 2), ('血管迷走神经型晕厥', 2), ('血管迷走性神经晕厥', 1)]",,R55,,,,,"晕厥和虚脱,晕厥,血管迷走性晕厥,血管迷走神经性晕厥,血管迷走神经型晕厥,血管迷走性神经晕厥",,"虚脱,恍惚,晕厥","两眼发黑,四肢无力,视物模糊,头昏",病史采集,体格检查,生化电解质：葡萄糖、钙、钠等离子的异常,,
儿科,"惊厥,不可归类在他处者",,"[('热性惊厥', 936), ('复杂性热性惊厥', 293), ('CFC', 176), ('高热惊厥', 169), ('热性惊厥附加症', 32)]",,R56,,,,,"惊厥,热性惊厥,复杂性热性惊厥,CFC,高热惊厥,热性惊厥附加症",,"高热惊厥,惊厥","面色剧变,意识突然丧失,四肢肌肉抽搐,呼吸突然急促,阵发性四肢和面部肌肉抽动,两侧眼球上翻,神情惊恐,极度烦躁,热性惊厥",病史采集,体格检查,脑电图：异常结果,,
儿科,"出血,不可归类在他处者",,"[('皮肤瘀斑', 58), ('瘀斑', 31), ('右跖瘀斑', 3), ('皮肤出血', 1)]",,R58,,,,,"出血,皮肤瘀斑,瘀斑,右跖瘀斑,皮肤出血",,皮肤出血,皮肤瘀斑,"止凝血功能：PT,APTT延长",血常规：血小板减少,凝血因子检查：凝血因子减少、缺乏,,
儿科,淋巴结增大,,"[('颈部淋巴结长大', 277), ('颈部淋巴结肿大', 77), ('淋巴结长大', 47), ('颈淋巴结长大', 45), ('耳后淋巴结长大', 44)]",,R59,,,,,"淋巴结增大,颈部淋巴结长大,颈部淋巴结肿大,淋巴结长大,颈淋巴结长大,耳后淋巴结长大",,淋巴结肿大,"淋巴结压痛,淋巴结触痛",超声：淋巴结肿大,体格检查,,,
儿科,多汗症,,"[('多汗', 439), ('汗多', 32), ('多汗症', 7), ('盗汗', 2), ('夜间多汗', 2)]",,R61,,,,,"多汗症,多汗,多汗症,盗汗,夜间多汗",,多汗,"全身性多汗,局部性多汗,夜间多汗",活检：汗腺增多,病史采集,体格检查,,
儿科,未达到预期正常生理发育水平,,"[('生长发育', 6512), ('生长偏离', 1815), ('运动发育落后', 825), ('生长迟缓', 659), ('青春晚期', 653)]",,R62,,,,,"生长发育,生长偏离,运动发育落后,生长迟缓,青春晚期",,"生长迟缓,身材矮小,营养不良","性器官和第二特征发育不良,体重低,运动发育落后,头围增长下降",生长发育测定,生长激素检查：生长激素降低,甲状腺激素检查：甲状腺功能降低,,
儿科,有关食物和液体摄取的症状和体征,,"[('厌食', 504), ('轻度低体重', 59), ('食欲下降', 3), ('体重增长差', 2), ('体重减轻', 2)]",,R63,,,,,"厌食,轻度低体重,食欲下降,体重增长差,体重减轻",,"食欲下降,体重异常,厌食,烦渴","面色萎黄,形体消瘦,进食不足,饮水不足",病史采集,化学检测：食物中毒,,,
儿科,其他的一般症状和体征,,"[('哭闹', 424), ('夜间哭闹', 53), ('阵发性哭闹', 3), ('口干', 1), ('哭闹发绀', 1)]",,R68,,,,,"哭闹,夜间哭闹,阵发性哭闹,口干,哭闹发绀",,"声嘶,夜间哭闹","口干,杵状指,软腭麻痹,心肌炎,毒血症,肾上腺功能障碍,阵发性哭闹,哭闹,发绀",病史采集,体格检查,,,
儿科,血清酶水平异常,,"[('胆汁酸增高', 32), ('转氨酶增高', 19), ('血清酶学增高', 2), ('神经元特异性烯醇化酶增高', 1), ('胆汁酸升高', 1)]",,R74,,,,,"血清酶水平异常,胆汁酸增高,转氨酶增高,血清酶学增高,神经元特异性烯醇化酶增高,胆汁酸升高",,血清酶学增高,"转氨酶增高,胆汁酸增高",肝功能：肝酶增高,心功能,,,
妇产科,尿的其他异常所见,,"[('尿隐血', 48), ('尿不尽', 12), ('血尿蛋白尿', 10), ('夜尿增多', 7), ('尿动力检查后', 2)]",,R82,,,,,"尿隐血,尿不尽,血尿蛋白尿,夜尿增多,尿动力检查后",,"蛋白尿,尿不尽","尿隐血,血尿,夜尿增多,",尿蛋白阳性，尿隐血阳性,尿比重低,,,
儿童口腔科,口腔颌面部损伤,S01.5,,,S01.5,No,,,白莹,,擦伤，挫伤，蜇伤，挫裂伤，刺伤，切割伤，撕裂伤，砍伤，咬伤，烧伤，火器伤,疼痛，红肿，瘀斑，血肿，伴血管神经骨损伤、外露，骨折，LeFort骨折，骨折段移位，咬合错乱，眶区淤血，舌后坠，呼吸困难，前牙开牙合，耳前区疼痛肿胀，出血，血肿，咬合紊乱，开口受限，咀嚼障碍、呼吸困难、吞咽困难、言语障碍；开口受限，复视，出血淤血，紫青色瘀斑，眶下区麻木，眼睑闭合不全,,X线或CT:见骨折线。骨擦音骨擦感，骨折段活动阳性。,,,,
小儿神经外科,脑外伤,S02,,,S02,No,,,嘉敏,,,脑部创伤出血,,肉眼可见头皮损伤、颅骨损伤、脑损伤,0,0,,
